transaction_count,unique_actions,days_active,avg_daily_transactions,total_deposits,total_borrows,total_repays,total_redeems,avg_deposit_size,avg_borrow_size,avg_repay_size,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,liquidation_count,total_volume,repay_ratio,borrow_deposit_ratio,activity_diversity,userWallet,credit_score
19,3,21,0.9047619047619048,1.4378217549440027e+21,4.755336760005915e+20,0.0,1.07327e+21,1.4378217549440028e+20,6.7933382285798785e+19,0.0,10,7,0,2,0,0,0.0,0.0,0.3307320078900264,0.6,0x00159370cbe576b765a7fb2e78582e0cb563d445,696.5
2,2,1,2.0,14127252.0,0.0,0.0,14127276.0,14127252.0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.4,0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,615.0
2,2,1,2.0,2.21e+16,5000000000000000.0,0.0,0.0,2.21e+16,5000000000000000.0,0.0,1,1,0,0,0,0,0.0,0.0,0.22624434389140272,0.4,0x0016469a65facda9e86fd0ae0e9661128843c224,615.0
1,1,1,1.0,9.63e+16,0.0,0.0,0.0,9.63e+16,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0016dcd1d3c93067dce5bb30dc33258f36d33308,607.5
54,4,58,0.9310344827586207,1.5304922101147493e+21,1.420027252822416e+21,6.407402824712978e+17,6.442576251247262e+20,1.0203281400764994e+20,1.0923286560172432e+20,6.407402824712978e+16,15,13,10,16,0,0,2.951160203219637e+21,0.0004512168912235846,0.9278239009893091,0.8,0x00183135585d70a523d61b2e43037a7138b36906,805.0451216891223
4,4,1,4.0,1.0235e+20,6.1e+19,6.1e+19,1.0235e+20,1.0235e+20,6.1e+19,6.1e+19,1,1,1,1,0,0,2.2435e+20,1.0,0.5959941377625794,0.8,0x00184e8aa1e95f491f2d9601e12b540092160ded,780.0
72,1,23,3.130434782608696,260000000000460.0,0.0,0.0,0.0,3611111111117.5,0.0,0.0,72,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0018583d7654803d2c59467e10dec5f70bbe1851,756.0
2,1,6,0.3333333333333333,2200000.0,0.0,0.0,0.0,1100000.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x001875a076b3cfe1c9535d76b0345c16e3d61118,609.0
22,4,54,0.4074074074074074,1.462827654263013e+19,1121816.0,1121820.0,1.4787763799382057e+19,1.6253640602922365e+18,560908.0,560910.0,9,2,2,9,0,0,1.4628276542632374e+19,1.0000035656471205,7.668818652223128e-14,0.8,0x0018d044b946ede86b43bb3b964a45772a5abeb9,857.0
5,3,15,0.3333333333333333,0.0,79209353.0,158517071.0,1.873686683952476e+20,0.0,79209353.0,79258535.5,0,1,2,2,0,0,0.0,2.0012418356705926,0.0,0.6,0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,625.5
1,1,1,1.0,1e+17,0.0,0.0,0.0,1e+17,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0019bd9f6142943f3a03a8a62d0001a95213f555,607.5
2,2,1,2.0,4.1189765583527866e+17,500000000.0,0.0,0.0,4.1189765583527866e+17,500000000.0,0.0,1,1,0,0,0,0,0.0,0.0,1.2138937741368312e-09,0.4,0x001b024b98ee862aa01eea595c4c16a0213d2611,615.0
32,4,24,1.3333333333333333,3.914713099487479e+19,234424601.0,234555105.0,331228407.0,3.9147130994874793e+18,39070766.833333336,33507872.14285714,10,6,7,9,0,0,3.914713099534377e+19,1.0005566992518844,5.988295822513564e-12,0.8,0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,872.0
45,4,10,4.5,1.1484504979413797e+23,54452832761.0,54495849398.0,9.91851932296773e+22,9.570420816178164e+21,5445283276.1,6055094377.555555,12,10,9,14,0,0,1.1484504979424692e+23,1.0007899797828481,4.74141748892162e-13,0.8,0x001bc97d92e1a30b02d4e75be25f06063555d556,891.5
